date,type,value
2021-05-11,Imported,12
2021-05-11,Local,13
2021-05-12,Imported,6
2021-05-12,Local,10
2021-05-13,Imported,10
2021-05-13,Local,24
2021-05-14,Imported,28
2021-05-14,Local,24
2021-05-15,Imported,12
2021-05-15,Local,19
2021-05-16,Imported,11
2021-05-16,Local,38
2021-05-17,Imported,7
2021-05-17,Local,21
2021-05-18,Imported,11
2021-05-18,Local,27
2021-05-19,Imported,4
2021-05-19,Local,34
2021-05-20,Imported,14
2021-05-20,Local,27
2021-05-21,Imported,10
2021-05-21,Local,30
2021-05-22,Imported,7
2021-05-22,Local,22
2021-05-23,Imported,3
2021-05-23,Local,22
2021-05-24,Imported,12
2021-05-24,Local,24
2021-05-25,Imported,9
2021-05-25,Local,21
2021-05-26,Imported,2
2021-05-26,Local,24
2021-05-27,Imported,9
2021-05-27,Local,15
2021-05-28,Imported,15
2021-05-28,Local,15
2021-05-29,Imported,10
2021-05-29,Local,23
2021-05-30,Imported,6
2021-05-30,Local,19
2021-05-31,Imported,7
2021-05-31,Local,16
2021-06-01,Imported,3
2021-06-01,Local,15
2021-06-02,Imported,8
2021-06-02,Local,23
2021-06-03,Imported,10
2021-06-03,Local,35
2021-06-04,Imported,6
2021-06-04,Local,7
2021-06-05,Imported,5
2021-06-05,Local,13
2021-06-06,Imported,14
2021-06-06,Local,6
2021-06-07,Imported,9
2021-06-07,Local,5
2021-06-08,Imported,5
2021-06-08,Local,4
2021-06-09,Imported,2
2021-06-09,Local,2
2021-06-10,Imported,9
2021-06-10,Local,4
2021-06-11,Imported,6
2021-06-11,Local,3
2021-06-12,Imported,9
2021-06-12,Local,9
2021-06-13,Imported,3
2021-06-13,Local,10
2021-06-14,Imported,6
2021-06-14,Local,19
2021-06-15,Imported,0
2021-06-15,Local,14
2021-06-16,Imported,5
2021-06-16,Local,19
2021-06-17,Imported,7
2021-06-17,Local,20
2021-06-18,Imported,2
2021-06-18,Local,14
2021-06-19,Imported,7
2021-06-19,Local,14
2021-06-20,Imported,2
2021-06-20,Local,9
2021-06-21,Imported,3
2021-06-21,Local,13
2021-06-22,Imported,3
2021-06-22,Local,15
2021-06-23,Imported,9
2021-06-23,Local,13
2021-06-24,Imported,9
2021-06-24,Local,14
2021-06-25,Imported,5
2021-06-25,Local,15
2021-06-26,Imported,4
2021-06-26,Local,13
2021-06-27,Imported,2
2021-06-27,Local,12
2021-06-28,Imported,5
2021-06-28,Local,4
2021-06-29,Imported,5
2021-06-29,Local,5
2021-06-30,Imported,11
2021-06-30,Local,5
2021-07-01,Imported,6
2021-07-01,Local,4
2021-07-02,Imported,7
2021-07-02,Local,3
2021-07-03,Imported,3
2021-07-03,Local,4
2021-07-04,Imported,10
2021-07-04,Local,1
2021-07-05,Imported,7
2021-07-05,Local,6
2021-07-06,Imported,8
2021-07-06,Local,2
2021-07-07,Imported,7
2021-07-07,Local,5
2021-07-08,Imported,13
2021-07-08,Local,3
2021-07-09,Imported,9
2021-07-09,Local,1
2021-07-10,Imported,6
2021-07-10,Local,0
2021-07-11,Imported,7
2021-07-11,Local,1
2021-07-12,Imported,18
2021-07-12,Local,8
2021-07-13,Imported,7
2021-07-13,Local,19
2021-07-14,Imported,4
2021-07-14,Local,56
2021-07-15,Imported,6
2021-07-15,Local,42
2021-07-16,Imported,8
2021-07-16,Local,53
2021-07-17,Imported,8
2021-07-17,Local,60
2021-07-18,Imported,4
2021-07-18,Local,88
2021-07-19,Imported,9
2021-07-19,Local,163
2021-07-20,Imported,13
2021-07-20,Local,182
2021-07-21,Imported,2
2021-07-21,Local,179
2021-07-22,Imported,8
2021-07-22,Local,162
2021-07-23,Imported,3
2021-07-23,Local,130
2021-07-24,Imported,3
2021-07-24,Local,127
2021-07-25,Imported,8
2021-07-25,Local,117
2021-07-26,Imported,6
2021-07-26,Local,129
2021-07-27,Imported,3
2021-07-27,Local,136
2021-07-28,Imported,6
2021-07-28,Local,130
2021-07-29,Imported,4
2021-07-29,Local,129
2021-07-30,Imported,8
2021-07-30,Local,131
2021-07-31,Imported,3
2021-07-31,Local,117
2021-08-01,Imported,8
2021-08-01,Local,113
2021-08-02,Imported,5
2021-08-02,Local,106
2021-08-03,Imported,4
2021-08-03,Local,98
2021-08-04,Imported,3
2021-08-04,Local,92
2021-08-05,Imported,2
2021-08-05,Local,96
2021-08-06,Imported,4
2021-08-06,Local,93
2021-08-07,Imported,6
2021-08-07,Local,75
2021-08-08,Imported,5
2021-08-08,Local,73
2021-08-09,Imported,3
2021-08-09,Local,69
2021-08-10,Imported,1
2021-08-10,Local,53
2021-08-11,Imported,2
2021-08-11,Local,61
2021-08-12,Imported,0
2021-08-12,Local,59
2021-08-13,Imported,4
2021-08-13,Local,45
2021-08-14,Imported,1
2021-08-14,Local,57
2021-08-15,Imported,3
2021-08-15,Local,50
2021-08-16,Imported,5
2021-08-16,Local,48
2021-08-17,Imported,4
2021-08-17,Local,52
2021-08-18,Imported,4
2021-08-18,Local,49
2021-08-19,Imported,3
2021-08-19,Local,29
2021-08-20,Imported,4
2021-08-20,Local,36
2021-08-21,Imported,5
2021-08-21,Local,32
2021-08-22,Imported,6
2021-08-22,Local,29
2021-08-23,Imported,4
2021-08-23,Local,94
2021-08-24,Imported,5
2021-08-24,Local,111
2021-08-25,Imported,2
2021-08-25,Local,118
2021-08-26,Imported,4
2021-08-26,Local,112
2021-08-27,Imported,2
2021-08-27,Local,120
2021-08-28,Imported,8
2021-08-28,Local,113
2021-08-29,Imported,9
2021-08-29,Local,124
2021-08-30,Imported,8
2021-08-30,Local,147
2021-08-31,Imported,5
2021-08-31,Local,156
2021-09-01,Imported,3
2021-09-01,Local,177
2021-09-02,Imported,3
2021-09-02,Local,188
2021-09-03,Imported,3
2021-09-03,Local,216
2021-09-04,Imported,6
2021-09-04,Local,253
2021-09-05,Imported,5
2021-09-05,Local,186
2021-09-06,Imported,6
2021-09-06,Local,235
2021-09-07,Imported,4
2021-09-07,Local,328
2021-09-08,Imported,2
2021-09-08,Local,347
2021-09-09,Imported,7
2021-09-09,Local,450
2021-09-10,Imported,5
2021-09-10,Local,568
2021-09-11,Imported,5
2021-09-11,Local,550
2021-09-12,Imported,3
2021-09-12,Local,517
2021-09-13,Imported,11
2021-09-13,Local,596
2021-09-14,Imported,4
2021-09-14,Local,833
2021-09-15,Imported,3
2021-09-15,Local,804
2021-09-16,Imported,4
2021-09-16,Local,906
2021-09-17,Imported,1
2021-09-17,Local,934
2021-09-18,Imported,4
2021-09-18,Local,1005
2021-09-19,Imported,2
2021-09-19,Local,1010
2021-09-20,Imported,7
2021-09-20,Local,910
2021-09-21,Imported,4
2021-09-21,Local,1174
2021-09-22,Imported,4
2021-09-22,Local,1453
2021-09-23,Imported,12
2021-09-23,Local,1492
2021-09-24,Imported,4
2021-09-24,Local,1646
2021-09-25,Imported,19
2021-09-25,Local,1424
2021-09-26,Imported,4
2021-09-26,Local,1935
2021-09-27,Imported,6
2021-09-27,Local,1641
2021-09-28,Imported,8
2021-09-28,Local,2228
2021-09-29,Imported,9
2021-09-29,Local,2259
2021-09-30,Imported,4
2021-09-30,Local,2474
2021-10-01,Imported,13
2021-10-01,Local,2896
2021-10-02,Imported,6
2021-10-02,Local,2350
2021-10-03,Imported,8
2021-10-03,Local,2049
2021-10-04,Imported,15
2021-10-04,Local,2460
2021-10-05,Imported,5
2021-10-05,Local,3481
2021-10-06,Imported,14
2021-10-06,Local,3563
2021-10-07,Imported,7
2021-10-07,Local,3476
2021-10-08,Imported,0
2021-10-08,Local,3590
2021-10-09,Imported,3
2021-10-09,Local,3700
2021-10-10,Imported,2
2021-10-10,Local,2807
2021-10-11,Imported,8
2021-10-11,Local,2255
2021-10-12,Imported,4
2021-10-12,Local,2972
2021-10-13,Imported,5
2021-10-13,Local,3185
2021-10-14,Imported,3
2021-10-14,Local,2929
2021-10-15,Imported,2
2021-10-15,Local,3443
2021-10-16,Imported,4
2021-10-16,Local,3344
2021-10-17,Imported,3
2021-10-17,Local,3055
2021-10-18,Imported,1
2021-10-18,Local,2552
2021-10-19,Imported,12
2021-10-19,Local,3982
2021-10-20,Imported,10
2021-10-20,Local,3852
2021-10-21,Imported,7
2021-10-21,Local,3432
2021-10-22,Imported,5
2021-10-22,Local,3632
2021-10-23,Imported,4
2021-10-23,Local,3594
2021-10-24,Imported,7
2021-10-24,Local,3376
2021-10-25,Imported,10
2021-10-25,Local,3164
2021-10-26,Imported,5
2021-10-26,Local,3272
2021-10-27,Imported,13
2021-10-27,Local,5311
2021-10-28,Imported,6
2021-10-28,Local,3426
2021-10-29,Imported,5
2021-10-29,Local,4243
2021-10-30,Imported,2
2021-10-30,Local,3110
2021-10-31,Imported,4
2021-10-31,Local,3159
2021-11-01,Imported,3
2021-11-01,Local,2467
2021-11-02,Imported,3
2021-11-02,Local,3493
2021-11-03,Imported,2
2021-11-03,Local,3633
2021-11-04,Imported,3
2021-11-04,Local,3000
2021-11-05,Imported,9
2021-11-05,Local,1758
2021-11-06,Imported,5
2021-11-06,Local,3030
2021-11-07,Imported,5
2021-11-07,Local,2548
2021-11-08,Imported,7
2021-11-08,Local,2463
2021-11-09,Imported,6
2021-11-09,Local,3391
2021-11-10,Imported,9
2021-11-10,Local,3472
2021-11-11,Imported,17
2021-11-11,Local,2379
2021-11-12,Imported,6
2021-11-12,Local,3093
2021-11-13,Imported,5
2021-11-13,Local,2299
2021-11-14,Imported,6
2021-11-14,Local,1717
2021-11-15,Imported,4
2021-11-15,Local,2065
2021-11-16,Imported,5
2021-11-16,Local,2064
2021-11-17,Imported,10
2021-11-17,Local,3464
2021-11-18,Imported,7
2021-11-18,Local,2031
2021-11-19,Imported,5
2021-11-19,Local,1729
2021-11-20,Imported,7
2021-11-20,Local,1924
2021-11-21,Imported,13
2021-11-21,Local,1657
2021-11-22,Imported,8
2021-11-22,Local,1453
2021-11-23,Imported,8
2021-11-23,Local,1774
2021-11-24,Imported,9
2021-11-24,Local,2070
2021-11-25,Imported,16
2021-11-25,Local,1259
2021-11-26,Imported,5
2021-11-26,Local,1085
2021-11-27,Imported,9
2021-11-27,Local,1752
2021-11-28,Imported,3
2021-11-28,Local,744
2021-11-29,Imported,8
2021-11-29,Local,1095
2021-11-30,Imported,22
2021-11-30,Local,1217
2021-12-01,Imported,13
2021-12-01,Local,1311
2021-12-02,Imported,9
2021-12-02,Local,1092
2021-12-03,Imported,17
2021-12-03,Local,749
2021-12-04,Imported,12
2021-12-04,Local,731
2021-12-05,Imported,15
2021-12-05,Local,537
2021-12-06,Imported,11
2021-12-06,Local,651
2021-12-07,Imported,10
2021-12-07,Local,705
2021-12-08,Imported,10
2021-12-08,Local,699
2021-12-09,Imported,17
2021-12-09,Local,665
2021-12-10,Imported,14
2021-12-10,Local,440
2021-12-11,Imported,23
2021-12-11,Local,536
2021-12-12,Imported,11
2021-12-12,Local,359
2021-12-13,Imported,17
2021-12-13,Local,322
2021-12-14,Imported,34
2021-12-14,Local,408
2021-12-15,Imported,23
2021-12-15,Local,451
2021-12-16,Imported,32
2021-12-16,Local,323
2021-12-17,Imported,37
2021-12-17,Local,375
2021-12-18,Imported,45
2021-12-18,Local,226
2021-12-19,Imported,69
2021-12-19,Local,186
2021-12-20,Imported,49
2021-12-20,Local,146
2021-12-21,Imported,54
2021-12-21,Local,226
2021-12-22,Imported,78
2021-12-22,Local,257
2021-12-23,Imported,90
2021-12-23,Local,232
2021-12-24,Imported,78
2021-12-24,Local,187
2021-12-25,Imported,67
2021-12-25,Local,181
2021-12-26,Imported,100
2021-12-26,Local,109
2021-12-27,Imported,135
2021-12-27,Local,145
2021-12-28,Imported,173
2021-12-28,Local,192
2021-12-29,Imported,152
2021-12-29,Local,189
2021-12-30,Imported,115
2021-12-30,Local,196
2021-12-31,Imported,172
2021-12-31,Local,172
2022-01-01,Imported,260
2022-01-01,Local,196
2022-01-02,Imported,297
2022-01-02,Local,132
2022-01-03,Imported,285
2022-01-03,Local,179
2022-01-04,Imported,502
2022-01-04,Local,340
2022-01-05,Imported,439
2022-01-05,Local,366
2022-01-06,Imported,389
2022-01-06,Local,424
2022-01-07,Imported,402
2022-01-07,Local,493
2022-01-08,Imported,559
2022-01-08,Local,436
2022-01-09,Imported,595
2022-01-09,Local,376
2022-01-10,Imported,498
2022-01-10,Local,395
2022-01-11,Imported,417
2022-01-11,Local,829
2022-01-12,Imported,422
2022-01-12,Local,781
2022-01-13,Imported,503
2022-01-13,Local,831
2022-01-14,Imported,381
2022-01-14,Local,1046
2022-01-15,Imported,420
2022-01-15,Local,1008
2022-01-16,Imported,380
2022-01-16,Local,925
2022-01-17,Imported,545
2022-01-17,Local,1101
2022-01-18,Imported,473
2022-01-18,Local,2128
2022-01-19,Imported,431
2022-01-19,Local,2272
2022-01-20,Imported,359
2022-01-20,Local,2438
2022-01-21,Imported,361
2022-01-21,Local,2794
2022-01-22,Imported,245
2022-01-22,Local,2218
2022-01-23,Imported,439
2022-01-23,Local,3057
2022-01-24,Imported,378
2022-01-24,Local,2624
2022-01-25,Imported,418
2022-01-25,Local,5578
2022-01-26,Imported,272
2022-01-26,Local,4560
2022-01-27,Imported,379
2022-01-27,Local,5090
2022-01-28,Imported,282
2022-01-28,Local,5272
2022-01-29,Imported,248
2022-01-29,Local,4959
2022-01-30,Imported,272
2022-01-30,Local,4226
2022-01-31,Imported,240
2022-01-31,Local,4241
2022-02-01,Imported,144
2022-02-01,Local,6120
2022-02-02,Imported,182
2022-02-02,Local,2919
2022-02-03,Imported,212
2022-02-03,Local,4085
2022-02-04,Imported,162
2022-02-04,Local,13046
2022-02-05,Imported,182
2022-02-05,Local,10208
2022-02-06,Imported,113
2022-02-06,Local,7639
2022-02-07,Imported,177
2022-02-07,Local,7629
2022-02-08,Imported,219
2022-02-08,Local,12792
2022-02-09,Imported,140
2022-02-09,Local,10174
2022-02-10,Imported,143
2022-02-10,Local,10543
2022-02-11,Imported,159
2022-02-11,Local,9771
2022-02-12,Imported,179
2022-02-12,Local,10326
2022-02-13,Imported,226
2022-02-13,Local,9194
2022-02-14,Imported,155
2022-02-14,Local,8927
2022-02-15,Imported,241
2022-02-15,Local,19179
2022-02-16,Imported,192
2022-02-16,Local,16691
2022-02-17,Imported,265
2022-02-17,Local,18280
2022-02-18,Imported,208
2022-02-18,Local,17886
2022-02-19,Imported,137
2022-02-19,Local,15699
2022-02-20,Imported,213
2022-02-20,Local,15070
2022-02-21,Imported,147
2022-02-21,Local,13476
2022-02-22,Imported,301
2022-02-22,Local,25731
2022-02-23,Imported,160
2022-02-23,Local,20152
2022-02-24,Imported,159
2022-02-24,Local,18434
2022-02-25,Imported,214
2022-02-25,Local,18383
2022-02-26,Imported,143
2022-02-26,Local,16714
2022-02-27,Imported,164
2022-02-27,Local,14064
2022-02-28,Imported,94
2022-02-28,Local,13450
2022-03-01,Imported,189
2022-03-01,Local,23891
2022-03-02,Imported,161
2022-03-02,Local,18998
2022-03-03,Imported,171
2022-03-03,Local,17991
2022-03-04,Imported,159
2022-03-04,Local,17405
2022-03-05,Imported,155
2022-03-05,Local,16119
2022-03-06,Imported,140
2022-03-06,Local,13018
2022-03-07,Imported,149
2022-03-07,Local,13371
2022-03-08,Imported,218
2022-03-08,Local,21983
2022-03-09,Imported,193
2022-03-09,Local,16858
2022-03-10,Imported,175
2022-03-10,Local,15990
2022-03-11,Imported,215
2022-03-11,Local,15130
2022-03-12,Imported,112
2022-03-12,Local,12520
2022-03-13,Imported,104
2022-03-13,Local,9597
2022-03-14,Imported,101
2022-03-14,Local,8941
2022-03-15,Imported,165
2022-03-15,Local,15686
2022-03-16,Imported,137
2022-03-16,Local,11141
2022-03-17,Imported,128
2022-03-17,Local,10585
2022-03-18,Imported,159
2022-03-18,Local,10435
2022-03-19,Imported,143
2022-03-19,Local,10101
2022-03-20,Imported,126
2022-03-20,Local,7733
2022-03-21,Imported,144
2022-03-21,Local,7394
2022-03-22,Imported,241
2022-03-22,Local,12925
2022-03-23,Imported,191
2022-03-23,Local,8749
2022-03-24,Imported,174
2022-03-24,Local,8304
2022-03-25,Imported,208
2022-03-25,Local,7376
2022-03-26,Imported,122
2022-03-26,Local,6312
2022-03-27,Imported,102
2022-03-27,Local,4746
2022-03-28,Imported,112
2022-03-28,Local,4813
2022-03-29,Imported,154
2022-03-29,Local,8010
2022-03-30,Imported,139
2022-03-30,Local,5590
2022-03-31,Imported,146
2022-03-31,Local,5459
2022-04-01,Imported,117
2022-04-01,Local,4893
2022-04-02,Imported,91
2022-04-02,Local,4472
2022-04-03,Imported,69
2022-04-03,Local,3674
2022-04-04,Imported,54
2022-04-04,Local,3280
2022-04-05,Imported,120
2022-04-05,Local,6221
2022-04-06,Imported,97
2022-04-06,Local,4370
2022-04-07,Imported,124
2022-04-07,Local,4145
2022-04-08,Imported,134
2022-04-08,Local,3880
2022-04-09,Imported,124
2022-04-09,Local,3135
2022-04-10,Imported,62
2022-04-10,Local,2511
2022-04-11,Imported,76
2022-04-11,Local,2492
2022-04-12,Imported,132
2022-04-12,Local,4420
2022-04-13,Imported,125
2022-04-13,Local,3410
2022-04-14,Imported,114
2022-04-14,Local,3407
2022-04-15,Imported,113
2022-04-15,Local,3291
2022-04-16,Imported,50
2022-04-16,Local,1620
2022-04-17,Imported,94
2022-04-17,Local,2955
2022-04-18,Imported,78
2022-04-18,Local,2402
2022-04-19,Imported,174
2022-04-19,Local,4544
2022-04-20,Imported,148
2022-04-20,Local,3324
2022-04-21,Imported,175
2022-04-21,Local,3245
2022-04-22,Imported,116
2022-04-22,Local,2909
2022-04-23,Imported,79
2022-04-23,Local,2630
2022-04-24,Imported,54
2022-04-24,Local,1990
2022-04-25,Imported,48
2022-04-25,Local,2010
2022-04-26,Imported,55
2022-04-26,Local,3633
2022-04-27,Imported,44
2022-04-27,Local,2602
2022-04-28,Imported,38
2022-04-28,Local,2652
2022-04-29,Imported,54
2022-04-29,Local,2463
2022-04-30,Imported,58
2022-04-30,Local,2083
2022-05-01,Imported,38
2022-05-01,Local,1694
2022-05-02,Imported,35
2022-05-02,Local,1301
2022-05-03,Imported,62
2022-05-03,Local,1508
2022-05-04,Imported,81
2022-05-04,Local,1557
2022-05-05,Imported,258
2022-05-05,Local,4475
2022-05-06,Imported,219
2022-05-06,Local,3201
2022-05-07,Imported,215
2022-05-07,Local,2947
2022-05-08,Imported,154
2022-05-08,Local,2269
2022-05-09,Imported,97
2022-05-09,Local,2174
2022-05-10,Imported,212
2022-05-10,Local,4619
2022-05-11,Imported,174
2022-05-11,Local,3716
2022-05-12,Imported,147
2022-05-12,Local,3498
2022-05-13,Imported,112
2022-05-13,Local,4179
2022-05-14,Imported,98
2022-05-14,Local,3285
2022-05-15,Imported,57
2022-05-15,Local,2594
2022-05-16,Imported,50
2022-05-16,Local,2073
2022-05-17,Imported,62
2022-05-17,Local,2602
2022-05-18,Imported,153
2022-05-18,Local,6289
2022-05-19,Imported,107
2022-05-19,Local,4471
2022-05-20,Imported,114
2022-05-20,Local,4228
2022-05-21,Imported,156
2022-05-21,Local,3619
2022-05-22,Imported,103
2022-05-22,Local,2724
2022-05-23,Imported,73
2022-05-23,Local,2678
2022-05-24,Imported,104
2022-05-24,Local,5623
2022-05-25,Imported,100
2022-05-25,Local,4067
2022-05-26,Imported,107
2022-05-26,Local,3829
2022-05-27,Imported,120
2022-05-27,Local,3710
2022-05-28,Imported,79
2022-05-28,Local,3244
2022-05-29,Imported,103
2022-05-29,Local,2448
2022-05-30,Imported,83
2022-05-30,Local,2306
2022-05-31,Imported,211
2022-05-31,Local,4774
2022-06-01,Imported,164
2022-06-01,Local,3413
2022-06-02,Imported,177
2022-06-02,Local,3568
2022-06-03,Imported,135
2022-06-03,Local,3098
2022-06-04,Imported,127
2022-06-04,Local,2752
2022-06-05,Imported,111
2022-06-05,Local,2145
2022-06-06,Imported,121
2022-06-06,Local,2041
2022-06-07,Imported,176
2022-06-07,Local,4301
2022-06-08,Imported,209
2022-06-08,Local,3393
2022-06-09,Imported,194
2022-06-09,Local,3237
2022-06-10,Imported,155
2022-06-10,Local,2814
2022-06-11,Imported,169
2022-06-11,Local,2959
2022-06-12,Imported,154
2022-06-12,Local,2349
2022-06-13,Imported,207
2022-06-13,Local,2182
2022-06-14,Imported,438
2022-06-14,Local,4692
2022-06-15,Imported,370
2022-06-15,Local,3536
2022-06-16,Imported,356
2022-06-16,Local,3658
2022-06-17,Imported,387
2022-06-17,Local,3698
2022-06-18,Imported,326
2022-06-18,Local,3456
2022-06-19,Imported,299
2022-06-19,Local,2900
2022-06-20,Imported,336
2022-06-20,Local,2884
2022-06-21,Imported,718
2022-06-21,Local,6391
2022-06-22,Imported,617
2022-06-22,Local,5245
2022-06-23,Imported,652
2022-06-23,Local,5954
2022-06-24,Imported,642
2022-06-24,Local,5874
2022-06-25,Imported,514
2022-06-25,Local,5654
2022-06-26,Imported,418
2022-06-26,Local,4698
2022-06-27,Imported,464
2022-06-27,Local,4845
2022-06-28,Imported,772
2022-06-28,Local,10732
2022-06-29,Imported,603
2022-06-29,Local,8789
2022-06-30,Imported,576
2022-06-30,Local,8929
2022-07-01,Imported,495
2022-07-01,Local,8592
2022-07-02,Imported,313
2022-07-02,Local,7639
2022-07-03,Imported,262
2022-07-03,Local,5865
2022-07-04,Imported,246
2022-07-04,Local,5700
2022-07-05,Imported,537
2022-07-05,Local,12247
2022-07-06,Imported,464
2022-07-06,Local,9525
2022-07-07,Imported,451
2022-07-07,Local,9534
2022-07-08,Imported,353
2022-07-08,Local,8931
2022-07-09,Imported,283
2022-07-09,Local,8376
2022-07-10,Imported,223
2022-07-10,Local,6200
2022-07-11,Imported,199
2022-07-11,Local,4296
2022-07-12,Imported,236
2022-07-12,Local,5743
2022-07-13,Imported,892
2022-07-13,Local,15978
2022-07-14,Imported,779
2022-07-14,Local,10993
2022-07-15,Imported,699
2022-07-15,Local,9827
2022-07-16,Imported,462
2022-07-16,Local,8691
2022-07-17,Imported,309
2022-07-17,Local,6638
2022-07-18,Imported,249
2022-07-18,Local,5978
2022-07-19,Imported,516
2022-07-19,Local,13278
2022-07-20,Imported,398
2022-07-20,Local,9895
2022-07-21,Imported,431
2022-07-21,Local,9318
2022-07-22,Imported,348
2022-07-22,Local,8635
2022-07-23,Imported,297
2022-07-23,Local,7592
2022-07-24,Imported,225
2022-07-24,Local,5950
2022-07-25,Imported,193
2022-07-25,Local,5358
2022-07-26,Imported,483
2022-07-26,Local,11936
2022-07-27,Imported,343
2022-07-27,Local,8420
2022-07-28,Imported,359
2022-07-28,Local,8206
2022-07-29,Imported,309
2022-07-29,Local,7629
2022-07-30,Imported,261
2022-07-30,Local,6297
2022-07-31,Imported,193
2022-07-31,Local,4913
2022-08-01,Imported,161
2022-08-01,Local,4548
2022-08-02,Imported,353
2022-08-02,Local,9877
2022-08-03,Imported,289
2022-08-03,Local,6942
